p_id,subjectGroup,correct,idea_units,RP_any,RP_imp,RP_per,content,familiarity,vocabulary,comprehension,GMRT,read_time_minutes,RP_RT,GMRT_transformed,knowledge_transformed
13,RPm,0,1,0,0,0,The endocrine system produces chemicals ,2,36,30,66,5.07195,15.1479,-0.8888978736466298,-1.520253293841969
13,RPm,0,2,0,0,0,…Chemicals that regulate many of the body’s daily activities,2,36,30,66,5.07195,15.1479,-0.8888978736466298,-1.520253293841969
13,RPm,0,3,0,0,0,The endocrine system is made up of glands.,2,36,30,66,5.07195,15.1479,-0.8888978736466298,-1.520253293841969
13,RPm,0,4,0,0,0,A gland is an organ ,2,36,30,66,5.07195,15.1479,-0.8888978736466298,-1.520253293841969
13,RPm,0,5,0,0,0,….Glands produce or release a chemical,2,36,30,66,5.07195,15.1479,-0.8888978736466298,-1.520253293841969
13,RPm,0,6,0,0,0,"Some glands, (such as those that produce saliva and sweat), release their chemicals into tiny tubes called ducts.",2,36,30,66,5.07195,15.1479,-0.8888978736466298,-1.520253293841969
13,RPm,0,7,1,0,1,The ducts deliver the chemicals to a specific location within the body or to the skin’s surface.,2,36,30,66,5.07195,15.1479,-0.8888978736466298,-1.520253293841969
13,RPm,0,8,0,0,0,"However, endocrine glands do not have delivery tubes.",2,36,30,66,5.07195,15.1479,-0.8888978736466298,-1.520253293841969
13,RPm,0,9,1,1,0,"Endocrine glands produce and release their chemicals directly into the bloodstream, (without going through ducts).",2,36,30,66,5.07195,15.1479,-0.8888978736466298,-1.520253293841969
13,RPm,0,10,0,0,0,The chemical product of an endocrine gland is called a hormone.,2,36,30,66,5.07195,15.1479,-0.8888978736466298,-1.520253293841969
13,RPm,1,11,0,0,0,The bloodstream carries hormones throughout the body.,2,36,30,66,5.07195,15.1479,-0.8888978736466298,-1.520253293841969
13,RPm,0,12,0,0,0,"When a hormone enters the bloodstream, it does not interact with all organs in the body.",2,36,30,66,5.07195,15.1479,-0.8888978736466298,-1.520253293841969
13,RPm,0,13,0,0,0,Hormones interact with only certain cells,2,36,30,66,5.07195,15.1479,-0.8888978736466298,-1.520253293841969
13,RPm,0,14,0,0,0,...that recognize the hormone’s chemical structure,2,36,30,66,5.07195,15.1479,-0.8888978736466298,-1.520253293841969
13,RPm,0,15,0,0,0,These are called target cells.,2,36,30,66,5.07195,15.1479,-0.8888978736466298,-1.520253293841969
13,RPm,0,16,1,0,1,A target cell may have several different receptor types,2,36,30,66,5.07195,15.1479,-0.8888978736466298,-1.520253293841969
13,RPm,0,17,1,0,1,...receptor types that activate different signal transduction pathways.,2,36,30,66,5.07195,15.1479,-0.8888978736466298,-1.520253293841969
13,RPm,0,18,1,1,0,Hormones that do not fit a particular organ’s target cells,2,36,30,66,5.07195,15.1479,-0.8888978736466298,-1.520253293841969
13,RPm,0,19,1,1,0,...will travel through the bloodstream until they find target cells that they fit.,2,36,30,66,5.07195,15.1479,-0.8888978736466298,-1.520253293841969
13,RPm,0,20,0,0,0,"Target cells then respond to the hormones by turning on, turning off, the activities of different organs and tissues.",2,36,30,66,5.07195,15.1479,-0.8888978736466298,-1.520253293841969
13,RPm,0,21,0,0,0,"...speeding up, or slowing down the activities of different organs and tissues.",2,36,30,66,5.07195,15.1479,-0.8888978736466298,-1.520253293841969
13,RPm,0,22,0,0,0,Hormones can regulate activities in tissues and organs that are far from the glands that produce them.,2,36,30,66,5.07195,15.1479,-0.8888978736466298,-1.520253293841969
13,RPm,0,23,0,0,0,One of the main functions of the endocrine system is to control the body’s response to an exciting situation.,2,36,30,66,5.07195,15.1479,-0.8888978736466298,-1.520253293841969
13,RPm,0,24,0,0,0,"(When the brain processes an exciting situation,) hormones travel from the hypothalamus, to the pituitary gland",2,36,30,66,5.07195,15.1479,-0.8888978736466298,-1.520253293841969
13,RPm,0,25,0,0,0,...pituitary gland to the adrenal gland.,2,36,30,66,5.07195,15.1479,-0.8888978736466298,-1.520253293841969
13,RPm,0,26,0,0,0,This three-step process of the endocrine system is called the HPA axis.,2,36,30,66,5.07195,15.1479,-0.8888978736466298,-1.520253293841969
13,RPm,0,27,1,0,1,The HPA axis integrates physical and psychosocial influences ,2,36,30,66,5.07195,15.1479,-0.8888978736466298,-1.520253293841969
13,RPm,0,28,1,0,1,...(The HPA axis) allows an organism to adapt to its environment,2,36,30,66,5.07195,15.1479,-0.8888978736466298,-1.520253293841969
13,RPm,0,29,1,1,0,"In the first three steps of the HPA axis, a hormone attaches to a target cell",2,36,30,66,5.07195,15.1479,-0.8888978736466298,-1.520253293841969
