p_id,question,q_num,q_type,stim1,stim2,stim3,stim4,key,response,RT,correct,subjectGroup,familiarity,vocabulary,comprehension,GMRT,GMRT_transformed,knowledge_transformed
26,"Once a virus attaches to the surface of a host cell, it injects its ______ into the cell",4,memory,viruses,proteins,food and energy,genetic material,4.0,4,13157,1.0,RPm,18,37,39,76,0.0254343828073557,-0.5450279870154279
26,The only way in which viruses are like organisms is that they can:,1,memory,eat,multiply,create waste,defend themselves,2.0,2,4003,1.0,RPm,18,37,39,76,0.0254343828073557,-0.5450279870154279
26,Viruses are made up of two basic parts: a protein coat and what?,3,memory,bacteria,inner core,nervous system,organelles,2.0,1,5538,0.0,RPm,18,37,39,76,0.0254343828073557,-0.5450279870154279
26,The cells a virus infects are called:,2,memory,support cells,lock cells,host cells,protein cells,3.0,3,5211,1.0,RPm,18,37,39,76,0.0254343828073557,-0.5450279870154279
26,Which of the following viral diseases was not listed in the text?,6,memory,cold sores,polio,AIDS,influenza,4.0,4,6137,1.0,RPm,18,37,39,76,0.0254343828073557,-0.5450279870154279
26,The name of the virus that infects bacteria is:,5,memory,bacteriophage,rhinovirus,bacteriovirus,retrovirues,1.0,3,5602,0.0,RPm,18,37,39,76,0.0254343828073557,-0.5450279870154279
26,How do viruses use their host cells?,8,inference,host cells provide energy for viruses,viruses fill host cells with waste,viruses use host cells to reproduce,viruses kill host cels in order to eat them,3.0,3,7309,1.0,RPm,18,37,39,76,0.0254343828073557,-0.5450279870154279
26,"What would likely happen if a virus could attach to a host cell, but did not take over the host cell's functions?",10,inference,the virus would not burst the cell,the virus would live in the host cell,the host cell would produce the virus's proteins,the host cell would produce the virus's genetic material,1.0,1,15646,1.0,RPm,18,37,39,76,0.0254343828073557,-0.5450279870154279
26,Viruses cause damage to the cells of organisms by:,12,inference,eating the host cell,bursting the host cell,deactivating the host cell,changing the protein keys,2.0,2,5474,1.0,RPm,18,37,39,76,0.0254343828073557,-0.5450279870154279
26,What is a correct order of processes underlying the spread of a virus?,11,inference,"a host cell bursts, a new virus attaches to a new host cell, a new virus injects genetic material","a virus reproduces, a virus injects genetic material, a virus attaches to host","a virus attaches to a host, a host cell bursts, a virus takes over host cell","a virus injects genetic material, a virus attaches to host cell, a host cell bursts",1.0,1,53154,1.0,RPm,18,37,39,76,0.0254343828073557,-0.5450279870154279
